customerkey,cohort_year,total_orders,net_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,avg_order_value
1943924,2022,1,5026.38,2022-12-03,2022-12-03,504,Churned,5026.38
1155513,2018,2,5026.06,2018-11-28,2019-01-21,1916,Churned,2513.03
2051902,2020,2,5025.78,2020-02-15,2022-02-19,791,Churned,2512.89
374194,2022,2,5025.48,2022-11-24,2023-12-05,137,At Risk,2512.74
1781629,2018,2,5024.08,2018-06-02,2019-02-05,1901,Churned,2512.04
532237,2018,2,5023.34,2018-06-19,2019-08-20,1705,Churned,2511.67
733573,2018,1,5022.51,2018-01-12,2018-01-12,2290,Churned,5022.51
1970931,2023,1,5022.46,2023-08-14,2023-08-14,250,Churned,5022.46
514883,2016,1,5021.81,2016-02-22,2016-02-22,2980,Churned,5021.81
2017179,2015,1,5021.80,2015-11-03,2015-11-03,3091,Churned,5021.80
1793742,2018,3,5020.92,2018-10-04,2023-01-21,455,Churned,1673.64
61732,2022,1,5020.83,2022-02-03,2022-02-03,807,Churned,5020.83
1945504,2018,3,5020.09,2018-08-02,2022-12-31,476,Churned,1673.36
1541827,2022,2,5020.09,2022-12-17,2024-03-09,42,Active,2510.05
852194,2022,2,5020.06,2022-06-03,2023-03-16,401,Churned,2510.03
52272,2022,1,5020.04,2022-10-10,2022-10-10,558,Churned,5020.04
1650278,2016,1,5019.34,2016-10-12,2016-10-12,2747,Churned,5019.34
1517515,2019,2,5019.34,2019-05-13,2022-08-23,606,Churned,2509.67
579603,2015,1,5019.11,2015-12-05,2015-12-05,3059,Churned,5019.11
2060940,2018,1,5018.86,2018-06-28,2018-06-28,2123,Churned,5018.86
231318,2015,3,5018.53,2015-02-02,2022-10-27,541,Churned,1672.84
2049941,2022,2,5017.66,2022-08-13,2022-09-21,577,Churned,2508.83
1503554,2016,4,5017.61,2016-10-25,2023-09-07,226,Churned,1254.40
407445,2018,2,5017.42,2018-12-24,2022-02-18,792,Churned,2508.71
73327,2018,1,5016.58,2018-03-15,2018-03-15,2228,Churned,5016.58
2084841,2018,2,5016.49,2018-09-28,2021-11-10,892,Churned,2508.25
2097343,2019,2,5016.20,2019-09-27,2019-10-09,1655,Churned,2508.10
1563805,2020,1,5015.81,2020-06-19,2020-06-19,1401,Churned,5015.81
1912507,2023,1,5014.99,2023-08-17,2023-08-17,247,Churned,5014.99
50718,2021,2,5014.75,2021-12-23,2023-02-11,434,Churned,2507.38
1158449,2017,2,5014.14,2017-12-05,2023-09-07,226,Churned,2507.07
1189857,2019,1,5013.98,2019-05-24,2019-05-24,1793,Churned,5013.98
856923,2021,2,5013.76,2021-09-23,2024-04-18,2,Active,2506.88
315775,2022,2,5013.76,2022-12-25,2023-01-01,475,Churned,2506.88
2030241,2022,3,5013.33,2022-06-16,2022-12-03,504,Churned,1671.11
1905821,2022,2,5013.07,2022-11-30,2024-01-02,109,At Risk,2506.54
1977790,2020,2,5011.94,2020-01-15,2022-10-20,548,Churned,2505.97
1571673,2021,1,5011.78,2021-08-17,2021-08-17,977,Churned,5011.78
464420,2016,3,5010.94,2016-12-01,2022-11-03,534,Churned,1670.31
1747434,2019,2,5010.87,2019-12-13,2022-08-27,602,Churned,2505.44
1908698,2022,1,5010.48,2022-11-18,2022-11-18,519,Churned,5010.48
409577,2022,2,5009.89,2022-07-12,2023-12-23,119,At Risk,2504.95
591365,2022,1,5009.54,2022-03-01,2022-03-01,781,Churned,5009.54
1998260,2019,2,5009.50,2019-08-16,2022-04-21,730,Churned,2504.75
535189,2019,1,5009.28,2019-08-05,2019-08-05,1720,Churned,5009.28
856448,2018,2,5009.20,2018-11-05,2023-02-14,431,Churned,2504.60
1802478,2019,2,5008.55,2019-12-09,2022-07-20,640,Churned,2504.28
1842868,2015,2,5007.32,2015-10-15,2021-07-02,1023,Churned,2503.66
1496105,2019,2,5007.14,2019-09-10,2019-09-23,1671,Churned,2503.57
897026,2018,2,5006.69,2018-12-03,2023-10-14,189,Churned,2503.35
507756,2017,2,5006.48,2017-08-22,2023-11-23,149,At Risk,2503.24
1380316,2021,3,5004.47,2021-11-11,2023-11-12,160,At Risk,1668.16
1493377,2018,2,5003.94,2018-08-01,2023-02-16,429,Churned,2501.97
1834608,2018,2,5003.89,2018-12-22,2022-02-27,783,Churned,2501.95
184621,2017,1,5003.63,2017-02-03,2017-02-03,2633,Churned,5003.63
85923,2017,2,5003.32,2017-04-17,2017-05-13,2534,Churned,2501.66
1349501,2017,2,5003.31,2017-06-01,2022-06-23,667,Churned,2501.66
389299,2018,2,5002.64,2018-06-01,2020-12-19,1218,Churned,2501.32
1525817,2021,1,5002.22,2021-10-23,2021-10-23,910,Churned,5002.22
1825006,2019,3,5002.01,2019-11-21,2022-09-14,584,Churned,1667.34
5905,2018,1,5001.90,2018-04-21,2018-04-21,2191,Churned,5001.90
419568,2020,2,5001.70,2020-05-01,2021-10-08,925,Churned,2500.85
1730823,2016,4,5001.47,2016-09-05,2023-05-09,347,Churned,1250.37
1027524,2021,1,5001.38,2021-03-12,2021-03-12,1135,Churned,5001.38
835468,2018,2,5001.05,2018-02-20,2019-02-08,1898,Churned,2500.53
423121,2019,3,4999.87,2019-09-01,2024-02-17,63,Active,1666.62
299144,2021,1,4999.68,2021-09-08,2021-09-08,955,Churned,4999.68
954499,2020,2,4999.59,2020-10-17,2023-01-15,461,Churned,2499.80
1543197,2022,1,4999.00,2022-08-23,2022-08-23,606,Churned,4999.00
783213,2016,1,4998.72,2016-04-09,2016-04-09,2933,Churned,4998.72
1498611,2021,3,4998.67,2021-06-30,2023-08-24,240,Churned,1666.22
286032,2018,2,4998.60,2018-06-15,2020-02-17,1524,Churned,2499.30
376506,2021,2,4998.19,2021-02-10,2021-11-28,874,Churned,2499.10
1424305,2019,1,4998.00,2019-03-09,2019-03-09,1869,Churned,4998.00
723194,2017,2,4997.32,2017-10-10,2019-09-02,1692,Churned,2498.66
1691713,2015,2,4996.45,2015-01-06,2017-02-24,2612,Churned,2498.23
425876,2022,1,4996.31,2022-10-29,2022-10-29,539,Churned,4996.31
1106297,2022,2,4996.19,2022-07-05,2023-03-24,393,Churned,2498.10
133386,2015,2,4996.02,2015-01-26,2021-01-01,1205,Churned,2498.01
1967380,2018,2,4995.01,2018-01-25,2021-04-16,1100,Churned,2497.51
1470725,2015,3,4995.00,2015-09-10,2022-06-07,683,Churned,1665.00
1044616,2022,1,4994.48,2022-10-25,2022-10-25,543,Churned,4994.48
1295694,2017,2,4994.42,2017-10-25,2023-08-01,263,Churned,2497.21
1753762,2019,3,4994.14,2019-01-05,2024-02-20,60,Active,1664.71
1013588,2022,1,4993.63,2022-02-24,2022-02-24,786,Churned,4993.63
1410791,2021,2,4993.61,2021-10-23,2023-06-10,315,Churned,2496.81
500397,2017,2,4993.26,2017-09-18,2022-11-18,519,Churned,2496.63
1919469,2017,2,4993.14,2017-05-20,2024-03-02,49,Active,2496.57
64817,2018,1,4993.11,2018-10-06,2018-10-06,2023,Churned,4993.11
1292830,2017,1,4992.89,2017-03-10,2017-03-10,2598,Churned,4992.89
2083052,2023,2,4992.26,2023-02-02,2023-12-22,120,At Risk,2496.13
1480505,2015,1,4992.16,2015-08-08,2015-08-08,3178,Churned,4992.16
1514614,2019,2,4991.66,2019-04-29,2022-08-11,618,Churned,2495.83
421391,2020,1,4991.47,2020-03-31,2020-03-31,1481,Churned,4991.47
399061,2018,3,4991.36,2018-10-10,2023-10-20,183,Churned,1663.79
674020,2022,1,4991.31,2022-12-21,2022-12-21,486,Churned,4991.31
851693,2017,2,4991.08,2017-09-28,2020-09-25,1303,Churned,2495.54
1799423,2020,2,4991.06,2020-05-21,2022-02-18,792,Churned,2495.53
1519467,2018,3,4990.92,2018-10-11,2023-05-30,326,Churned,1663.64
1936610,2018,1,4990.69,2018-07-21,2018-07-21,2100,Churned,4990.69
1544585,2019,3,4990.56,2019-01-21,2023-07-10,285,Churned,1663.52
730641,2019,2,4990.43,2019-12-28,2024-01-02,109,At Risk,2495.22
1648812,2018,3,4988.56,2018-09-28,2023-12-16,126,At Risk,1662.85
745925,2020,2,4988.54,2020-02-01,2022-06-23,667,Churned,2494.27
401839,2021,2,4988.16,2021-08-21,2023-10-13,190,Churned,2494.08
457215,2022,3,4987.73,2022-09-21,2023-04-13,373,Churned,1662.58
681964,2016,3,4987.57,2016-11-26,2022-12-15,492,Churned,1662.52
1599333,2022,2,4987.54,2022-06-30,2022-07-07,653,Churned,2493.77
669938,2022,1,4987.41,2022-01-27,2022-01-27,814,Churned,4987.41
1823253,2019,2,4987.04,2019-09-16,2022-11-02,535,Churned,2493.52
892667,2015,1,4986.08,2015-08-28,2015-08-28,3158,Churned,4986.08
1870570,2020,1,4986.07,2020-01-04,2020-01-04,1568,Churned,4986.07
1262912,2020,1,4986.06,2020-11-10,2020-11-10,1257,Churned,4986.06
2008257,2022,1,4986.05,2022-05-18,2022-05-18,703,Churned,4986.05
1984039,2023,1,4986.00,2023-03-24,2023-03-24,393,Churned,4986.00
392621,2018,4,4985.97,2018-04-24,2024-02-02,78,Active,1246.49
738932,2017,2,4985.65,2017-07-18,2022-09-12,586,Churned,2492.83
1900466,2018,3,4985.45,2018-03-06,2024-01-22,89,Active,1661.82
1364231,2018,2,4985.38,2018-03-09,2018-07-05,2116,Churned,2492.69
2062799,2017,2,4985.19,2017-11-08,2021-08-11,983,Churned,2492.60
1184112,2015,1,4985.09,2015-12-05,2015-12-05,3059,Churned,4985.09
1440880,2019,2,4984.98,2019-09-11,2022-10-22,546,Churned,2492.49
479252,2020,1,4984.65,2020-03-13,2020-03-13,1499,Churned,4984.65
1017979,2017,2,4984.59,2017-04-19,2018-08-29,2061,Churned,2492.30
447610,2018,1,4984.59,2018-05-23,2018-05-23,2159,Churned,4984.59
333653,2018,3,4984.41,2018-10-03,2023-08-24,240,Churned,1661.47
1194508,2021,1,4984.09,2021-06-05,2021-06-05,1050,Churned,4984.09
1348210,2015,3,4983.26,2015-09-03,2021-05-29,1057,Churned,1661.09
1016477,2015,1,4983.18,2015-02-19,2015-02-19,3348,Churned,4983.18
924976,2021,1,4982.54,2021-12-08,2021-12-08,864,Churned,4982.54
1142558,2017,3,4982.37,2017-03-22,2018-02-24,2247,Churned,1660.79
2005273,2018,1,4982.36,2018-06-11,2018-06-11,2140,Churned,4982.36
1700131,2022,4,4982.26,2022-08-08,2023-12-13,129,At Risk,1245.57
591833,2016,3,4981.99,2016-11-17,2023-09-28,205,Churned,1660.66
1474782,2021,1,4981.89,2021-07-03,2021-07-03,1022,Churned,4981.89
1771541,2018,2,4981.24,2018-10-13,2019-11-08,1625,Churned,2490.62
1359088,2017,2,4981.17,2017-11-07,2022-04-11,740,Churned,2490.59
177194,2019,3,4980.50,2019-06-05,2022-12-13,494,Churned,1660.17
1520102,2016,1,4980.47,2016-02-03,2016-02-03,2999,Churned,4980.47
1663755,2023,1,4980.36,2023-06-28,2023-06-28,297,Churned,4980.36
1068681,2023,1,4980.03,2023-09-28,2023-09-28,205,Churned,4980.03
1327895,2019,2,4980.02,2019-02-13,2022-10-08,560,Churned,2490.01
465045,2017,2,4979.68,2017-02-04,2023-10-18,185,Churned,2489.84
1291768,2018,3,4979.45,2018-07-28,2020-02-13,1528,Churned,1659.82
999278,2022,1,4979.28,2022-10-13,2022-10-13,555,Churned,4979.28
1473951,2022,2,4978.90,2022-10-13,2023-10-07,196,Churned,2489.45
524556,2019,2,4978.69,2019-05-30,2022-10-29,539,Churned,2489.35
2085925,2022,3,4977.93,2022-02-23,2022-09-23,575,Churned,1659.31
1688123,2019,1,4977.40,2019-02-05,2019-02-05,1901,Churned,4977.40
1949745,2022,2,4976.77,2022-03-11,2022-08-04,625,Churned,2488.39
881161,2022,1,4976.35,2022-02-19,2022-02-19,791,Churned,4976.35
903565,2020,1,4976.15,2020-02-08,2020-02-08,1533,Churned,4976.15
1799462,2015,2,4975.81,2015-01-13,2023-06-30,295,Churned,2487.91
781108,2019,1,4975.65,2019-02-16,2019-02-16,1890,Churned,4975.65
2046251,2018,3,4975.48,2018-05-09,2023-08-08,256,Churned,1658.49
501803,2015,2,4975.46,2015-12-06,2022-07-16,644,Churned,2487.73
104975,2022,1,4974.96,2022-11-10,2022-11-10,527,Churned,4974.96
1601428,2019,3,4974.87,2019-10-02,2023-03-04,413,Churned,1658.29
1123923,2021,2,4974.81,2021-11-10,2022-10-22,546,Churned,2487.41
1451677,2020,2,4974.35,2020-03-20,2024-02-24,56,Active,2487.18
1790663,2020,3,4973.92,2020-06-09,2024-03-05,46,Active,1657.97
1815620,2021,3,4973.87,2021-08-17,2024-01-09,102,At Risk,1657.96
1656416,2023,1,4973.55,2023-09-30,2023-09-30,203,Churned,4973.55
388420,2020,2,4973.00,2020-07-28,2020-09-04,1324,Churned,2486.50
876361,2022,3,4972.95,2022-04-30,2024-02-06,74,Active,1657.65
949391,2015,3,4972.25,2015-10-29,2023-12-23,119,At Risk,1657.42
1091945,2022,2,4971.98,2022-04-19,2024-02-23,57,Active,2485.99
1223998,2022,1,4971.12,2022-09-08,2022-09-08,590,Churned,4971.12
135606,2019,1,4970.99,2019-08-24,2019-08-24,1701,Churned,4970.99
1243288,2016,3,4970.59,2016-08-27,2023-10-14,189,Churned,1656.86
1061897,2021,1,4970.54,2021-12-30,2021-12-30,842,Churned,4970.54
1764137,2019,3,4970.47,2019-07-23,2023-08-24,240,Churned,1656.82
1492924,2019,2,4970.30,2019-05-27,2024-01-06,105,At Risk,2485.15
2067073,2021,1,4970.19,2021-08-30,2021-08-30,964,Churned,4970.19
762146,2023,1,4969.56,2023-02-15,2023-02-15,430,Churned,4969.56
2087996,2016,3,4969.14,2016-12-29,2022-05-16,705,Churned,1656.38
1192033,2017,1,4968.43,2017-12-06,2017-12-06,2327,Churned,4968.43
1732915,2017,4,4967.69,2017-11-16,2022-11-12,525,Churned,1241.92
368162,2019,2,4967.56,2019-10-16,2022-07-21,639,Churned,2483.78
1826908,2019,4,4966.97,2019-11-18,2021-12-28,844,Churned,1241.74
1038003,2022,1,4966.39,2022-07-09,2022-07-09,651,Churned,4966.39
1441454,2019,1,4966.33,2019-04-26,2019-04-26,1821,Churned,4966.33
219961,2016,2,4966.26,2016-11-12,2022-11-23,514,Churned,2483.13
1095503,2017,3,4966.26,2017-11-25,2021-12-19,853,Churned,1655.42
451998,2020,4,4965.92,2020-08-29,2023-01-26,450,Churned,1241.48
1463586,2019,3,4964.70,2019-12-27,2023-07-05,290,Churned,1654.90
856332,2022,2,4964.46,2022-12-20,2023-07-14,281,Churned,2482.23
1492545,2018,3,4963.41,2018-07-05,2023-06-04,321,Churned,1654.47
1998844,2019,4,4962.64,2019-10-18,2023-05-01,355,Churned,1240.66
582284,2016,3,4962.60,2016-10-15,2023-08-10,254,Churned,1654.20
905677,2020,1,4962.52,2020-02-26,2020-02-26,1515,Churned,4962.52
1709905,2019,5,4962.19,2019-04-22,2022-11-04,533,Churned,992.44
1252171,2021,1,4961.98,2021-08-22,2021-08-22,972,Churned,4961.98
653255,2015,3,4961.94,2015-10-20,2024-02-23,57,Active,1653.98
1859201,2021,2,4961.79,2021-11-04,2022-08-20,609,Churned,2480.90
692809,2018,1,4961.50,2018-03-10,2018-03-10,2233,Churned,4961.50
969156,2016,1,4961.40,2016-08-15,2016-08-15,2805,Churned,4961.40
1593881,2019,1,4960.36,2019-01-03,2019-01-03,1934,Churned,4960.36
295228,2016,4,4960.34,2016-08-20,2023-12-27,115,At Risk,1240.09
478637,2020,2,4960.27,2020-06-12,2023-08-31,233,Churned,2480.14
254982,2020,1,4960.24,2020-11-12,2020-11-12,1255,Churned,4960.24
1148598,2015,2,4960.09,2015-07-02,2016-02-18,2984,Churned,2480.05
849477,2023,1,4960.08,2023-06-07,2023-06-07,318,Churned,4960.08
480398,2021,2,4959.85,2021-09-18,2023-10-25,178,At Risk,2479.93
1256844,2021,1,4959.56,2021-06-24,2021-06-24,1031,Churned,4959.56
591915,2022,3,4959.23,2022-10-27,2023-06-13,312,Churned,1653.08
985917,2022,3,4959.19,2022-02-01,2022-11-25,512,Churned,1653.06
1549952,2015,3,4958.53,2015-01-24,2019-06-10,1776,Churned,1652.84
1498713,2017,3,4958.43,2017-11-08,2022-11-04,533,Churned,1652.81
1276087,2023,1,4958.43,2023-03-01,2023-03-01,416,Churned,4958.43
1778871,2015,4,4958.42,2015-03-18,2023-07-09,286,Churned,1239.61
716109,2018,3,4957.52,2018-12-25,2021-02-16,1159,Churned,1652.51
1838147,2019,1,4957.47,2019-05-17,2019-05-17,1800,Churned,4957.47
1698246,2018,2,4957.40,2018-07-10,2023-12-19,123,At Risk,2478.70
1867433,2017,2,4956.26,2017-08-29,2022-02-19,791,Churned,2478.13
1273504,2015,4,4956.24,2015-06-06,2023-11-15,157,At Risk,1239.06
137351,2022,2,4955.99,2022-05-14,2022-10-19,549,Churned,2478.00
1625892,2022,1,4955.32,2022-07-19,2022-07-19,641,Churned,4955.32
1732682,2015,3,4953.95,2015-03-24,2018-06-09,2142,Churned,1651.32
587073,2022,1,4953.28,2022-02-05,2022-02-05,805,Churned,4953.28
1333456,2022,2,4952.53,2022-06-03,2024-02-10,70,Active,2476.27
1617040,2021,1,4950.59,2021-10-22,2021-10-22,911,Churned,4950.59
1712114,2018,7,4950.53,2018-12-05,2022-08-06,623,Churned,707.22
278961,2018,1,4949.42,2018-08-01,2018-08-01,2089,Churned,4949.42
1979088,2018,2,4949.06,2018-09-22,2020-01-14,1558,Churned,2474.53
1817515,2018,3,4948.96,2018-11-15,2021-08-28,966,Churned,1649.65
2068052,2022,1,4948.21,2022-02-25,2022-02-25,785,Churned,4948.21
828578,2020,1,4946.70,2020-01-13,2020-01-13,1559,Churned,4946.70
1703366,2017,4,4946.47,2017-10-29,2022-08-20,609,Churned,1236.62
1482468,2020,3,4945.78,2020-01-24,2022-03-09,773,Churned,1648.59
1807291,2020,2,4944.31,2020-01-23,2021-02-25,1150,Churned,2472.16
1899328,2022,2,4944.11,2022-02-23,2023-02-13,432,Churned,2472.06
1634384,2016,3,4943.22,2016-12-24,2024-04-17,3,Active,1647.74
802807,2022,2,4942.98,2022-05-16,2024-01-29,82,Active,2471.49
187841,2017,3,4942.95,2017-07-13,2023-01-10,466,Churned,1647.65
1321262,2019,2,4942.95,2019-09-13,2022-03-01,781,Churned,2471.48
1173536,2015,1,4942.59,2015-10-16,2015-10-16,3109,Churned,4942.59
1802375,2021,2,4942.50,2021-11-10,2021-11-24,878,Churned,2471.25
1892558,2018,3,4942.41,2018-07-05,2022-07-14,646,Churned,1647.47
1371116,2022,2,4941.21,2022-02-03,2023-07-30,265,Churned,2470.61
1582456,2019,1,4941.18,2019-12-31,2019-12-31,1572,Churned,4941.18
1685847,2023,1,4940.00,2023-01-29,2023-01-29,447,Churned,4940.00
912464,2018,1,4939.82,2018-06-19,2018-06-19,2132,Churned,4939.82
1144827,2021,2,4939.53,2021-12-23,2023-10-14,189,Churned,2469.77
402043,2021,3,4938.71,2021-11-30,2022-09-01,597,Churned,1646.24
557464,2021,1,4938.04,2021-12-13,2021-12-13,859,Churned,4938.04
1241847,2019,3,4937.92,2019-02-20,2021-08-05,989,Churned,1645.97
1032426,2021,2,4937.91,2021-09-17,2021-11-05,897,Churned,2468.96
779163,2020,2,4937.49,2020-04-04,2024-02-21,59,Active,2468.75
1445009,2022,2,4937.00,2022-12-31,2023-12-25,117,At Risk,2468.50
188944,2022,2,4936.93,2022-06-10,2022-06-22,668,Churned,2468.47
1294989,2022,1,4936.49,2022-02-03,2022-02-03,807,Churned,4936.49
882977,2017,2,4936.23,2017-06-03,2023-02-28,417,Churned,2468.12
1223430,2017,1,4936.20,2017-10-19,2017-10-19,2375,Churned,4936.20
2023925,2023,2,4935.79,2023-10-13,2023-11-21,151,At Risk,2467.90
1240571,2019,4,4935.37,2019-03-09,2023-12-26,116,At Risk,1233.84
68600,2018,2,4934.88,2018-05-29,2019-11-07,1626,Churned,2467.44
1382308,2019,1,4933.73,2019-03-01,2019-03-01,1877,Churned,4933.73
1360832,2016,2,4933.71,2016-03-17,2022-06-18,672,Churned,2466.86
800931,2022,2,4933.71,2022-07-19,2022-12-09,498,Churned,2466.86
1756283,2018,2,4933.52,2018-08-16,2018-11-28,1970,Churned,2466.76
1781969,2021,2,4933.48,2021-09-18,2023-02-16,429,Churned,2466.74
238988,2021,2,4933.14,2021-10-15,2024-01-23,88,Active,2466.57
440840,2019,2,4933.04,2019-01-12,2020-02-21,1520,Churned,2466.52
933107,2020,1,4932.94,2020-03-10,2020-03-10,1502,Churned,4932.94
602962,2021,2,4932.67,2021-12-07,2022-07-08,652,Churned,2466.34
864404,2022,3,4932.59,2022-12-07,2022-12-22,485,Churned,1644.20
574639,2018,2,4931.77,2018-05-16,2022-06-13,677,Churned,2465.89
657079,2022,1,4931.75,2022-03-12,2022-03-12,770,Churned,4931.75
1502555,2019,1,4931.58,2019-05-29,2019-05-29,1788,Churned,4931.58
410027,2019,2,4931.14,2019-09-04,2023-01-26,450,Churned,2465.57
902776,2023,1,4929.99,2023-06-08,2023-06-08,317,Churned,4929.99
1117639,2018,1,4929.38,2018-07-17,2018-07-17,2104,Churned,4929.38
466543,2020,2,4929.29,2020-11-07,2023-12-20,122,At Risk,2464.65
1558166,2019,2,4928.05,2019-05-17,2022-10-25,543,Churned,2464.03
1929262,2021,2,4927.41,2021-02-13,2023-11-27,145,At Risk,2463.71
656217,2023,1,4927.16,2023-10-07,2023-10-07,196,Churned,4927.16
1212936,2018,2,4927.03,2018-03-08,2020-02-13,1528,Churned,2463.52
1980920,2021,1,4926.63,2021-11-15,2021-11-15,887,Churned,4926.63
1053581,2020,1,4926.50,2020-12-08,2020-12-08,1229,Churned,4926.50
1022416,2018,3,4926.30,2018-11-03,2022-07-06,654,Churned,1642.10
889042,2017,2,4926.06,2017-11-04,2022-08-11,618,Churned,2463.03
349648,2017,3,4926.06,2017-07-28,2022-08-17,612,Churned,1642.02
929387,2022,1,4925.96,2022-04-29,2022-04-29,722,Churned,4925.96
722195,2015,1,4925.87,2015-04-29,2015-04-29,3279,Churned,4925.87
1618739,2021,2,4925.87,2021-08-21,2022-07-30,630,Churned,2462.94
1296174,2019,2,4925.68,2019-10-16,2022-03-10,772,Churned,2462.84
1855117,2019,3,4925.27,2019-09-21,2022-06-08,682,Churned,1641.76
1714445,2018,1,4925.19,2018-10-11,2018-10-11,2018,Churned,4925.19
2017504,2015,2,4924.47,2015-11-17,2021-07-03,1022,Churned,2462.24
839298,2021,3,4923.82,2021-08-04,2024-02-13,67,Active,1641.27
821995,2022,1,4923.72,2022-11-26,2022-11-26,511,Churned,4923.72
1615721,2019,3,4923.26,2019-02-02,2022-08-13,616,Churned,1641.09
657810,2019,3,4923.13,2019-05-21,2023-09-28,205,Churned,1641.04
1385210,2022,1,4922.87,2022-10-26,2022-10-26,542,Churned,4922.87
2054709,2018,2,4921.58,2018-12-05,2022-06-18,672,Churned,2460.79
55311,2022,2,4921.45,2022-01-07,2023-06-03,322,Churned,2460.73
1442550,2020,1,4921.44,2020-03-25,2020-03-25,1487,Churned,4921.44
1431973,2020,1,4921.25,2020-01-27,2020-01-27,1545,Churned,4921.25
208932,2019,2,4921.16,2019-10-09,2023-06-24,301,Churned,2460.58
1270870,2017,1,4920.96,2017-11-15,2017-11-15,2348,Churned,4920.96
1189095,2019,2,4920.61,2019-07-26,2022-11-01,536,Churned,2460.31
845477,2019,1,4920.09,2019-11-14,2019-11-14,1619,Churned,4920.09
496868,2017,2,4919.53,2017-01-16,2020-02-22,1519,Churned,2459.77
427727,2018,2,4919.40,2018-12-28,2021-09-07,956,Churned,2459.70
1198886,2017,3,4919.29,2017-01-07,2024-01-19,92,At Risk,1639.76
2003421,2016,1,4918.44,2016-08-06,2016-08-06,2814,Churned,4918.44
491115,2018,3,4918.40,2018-08-16,2023-12-30,112,At Risk,1639.47
575297,2022,1,4918.28,2022-06-20,2022-06-20,670,Churned,4918.28
1955964,2017,2,4918.13,2017-09-06,2021-08-21,973,Churned,2459.07
1023511,2021,1,4917.19,2021-05-04,2021-05-04,1082,Churned,4917.19
1619336,2017,2,4916.74,2017-05-13,2017-09-02,2422,Churned,2458.37
1783229,2016,3,4916.66,2016-02-22,2023-09-25,208,Churned,1638.89
1684494,2019,2,4916.20,2019-06-07,2021-12-22,850,Churned,2458.10
331520,2023,1,4915.64,2023-02-01,2023-02-01,444,Churned,4915.64
1799861,2017,2,4914.92,2017-11-04,2021-05-02,1084,Churned,2457.46
2099603,2022,1,4914.00,2022-03-15,2022-03-15,767,Churned,4914.00
1898179,2023,1,4914.00,2023-02-25,2023-02-25,420,Churned,4914.00
747524,2019,1,4913.91,2019-11-22,2019-11-22,1611,Churned,4913.91
1403058,2017,1,4913.46,2017-06-10,2017-06-10,2506,Churned,4913.46
1660399,2016,2,4912.89,2016-01-01,2023-07-17,278,Churned,2456.45
1657664,2017,4,4912.73,2017-09-22,2023-02-09,436,Churned,1228.18
2037223,2023,1,4912.57,2023-03-25,2023-03-25,392,Churned,4912.57
436056,2015,2,4912.08,2015-11-03,2023-01-27,449,Churned,2456.04
731330,2019,2,4912.08,2019-04-06,2023-08-04,260,Churned,2456.04
431738,2019,4,4911.69,2019-12-27,2024-01-26,85,Active,1227.92
564678,2019,4,4910.71,2019-05-24,2024-02-24,56,Active,1227.68
1568624,2018,3,4910.55,2018-06-21,2021-11-20,882,Churned,1636.85
1925971,2015,3,4910.49,2015-09-26,2022-11-19,518,Churned,1636.83
334747,2022,1,4909.48,2022-09-30,2022-09-30,568,Churned,4909.48
473973,2016,2,4909.25,2016-12-29,2022-11-26,511,Churned,2454.63
1621037,2022,1,4908.90,2022-08-13,2022-08-13,616,Churned,4908.90
1985878,2019,3,4908.52,2019-12-10,2023-08-28,236,Churned,1636.17
1059584,2018,2,4907.43,2018-07-12,2019-06-04,1782,Churned,2453.72
1838965,2018,3,4905.67,2018-07-27,2023-11-28,144,At Risk,1635.22
1462915,2018,2,4905.43,2018-12-20,2019-04-30,1817,Churned,2452.72
1717137,2019,1,4905.26,2019-10-16,2019-10-16,1648,Churned,4905.26
515004,2018,3,4905.07,2018-06-09,2021-09-10,953,Churned,1635.02
322248,2018,3,4904.34,2018-02-14,2022-03-07,775,Churned,1634.78
912580,2019,1,4904.16,2019-01-12,2019-01-12,1925,Churned,4904.16
1418088,2019,2,4903.63,2019-06-19,2022-04-03,748,Churned,2451.82
983809,2019,1,4902.80,2019-11-23,2019-11-23,1610,Churned,4902.80
36086,2018,2,4902.71,2018-02-13,2019-01-26,1911,Churned,2451.36
1970013,2017,2,4901.76,2017-02-02,2022-04-19,732,Churned,2450.88
1873443,2021,3,4901.30,2021-07-17,2023-11-30,142,At Risk,1633.77
204290,2019,2,4900.97,2019-07-23,2023-03-03,414,Churned,2450.49
320327,2021,1,4900.80,2021-12-29,2021-12-29,843,Churned,4900.80
371078,2016,2,4899.71,2016-06-10,2023-10-19,184,Churned,2449.86
1900560,2021,3,4899.62,2021-12-11,2023-02-11,434,Churned,1633.21
1091279,2019,3,4899.55,2019-01-17,2023-02-15,430,Churned,1633.18
1215348,2022,2,4899.25,2022-01-29,2023-02-28,417,Churned,2449.63
95003,2023,3,4898.45,2023-02-25,2023-06-28,297,Churned,1632.82
321546,2015,2,4898.22,2015-07-29,2024-01-13,98,At Risk,2449.11
2072311,2020,2,4898.16,2020-12-01,2022-02-04,806,Churned,2449.08
1822027,2019,3,4897.93,2019-04-29,2023-07-24,271,Churned,1632.64
877516,2015,1,4897.60,2015-11-23,2015-11-23,3071,Churned,4897.60
283637,2018,2,4896.63,2018-12-22,2020-01-25,1547,Churned,2448.32
1174713,2019,1,4895.87,2019-08-21,2019-08-21,1704,Churned,4895.87
